Timestamp (HH-MM-SS),Time (s),TSic AIN0 (°C)
17-45-06,3.0,17.221325635910034
17-45-09,6.0,17.20461443066597
17-45-12,9.1,17.210271060466766
17-45-15,12.1,17.214092910289764
17-45-18,15.1,17.216040551662445
17-45-21,18.1,17.217111587524414
17-45-24,21.1,17.223640859127045
17-45-27,24.1,17.223520278930664
17-45-30,27.1,17.22376185655594
17-45-33,30.1,17.22333002090454
17-45-36,33.1,17.22170615196228
17-45-39,36.1,17.22453874349594
17-45-42,39.1,17.225246787071228
17-45-45,42.1,17.2247114777565
17-45-48,45.2,17.2240030169487
17-45-51,48.2,17.224245011806488
17-45-54,51.2,17.229996979236603
17-45-57,54.2,17.230186820030212
17-46-00,57.2,17.22961688041687
17-46-03,60.2,17.229271411895752
17-46-06,63.2,17.22959977388382
17-46-09,66.2,17.214572310447693
17-46-12,69.2,17.20754235982895
17-46-15,72.2,17.20185923576355
17-46-18,75.2,17.204104781150818
17-46-21,78.3,17.20277464389801
17-46-24,81.3,17.20766294002533
17-46-27,84.3,17.207714676856995
17-46-30,87.3,17.206419587135315
17-46-33,90.3,17.19892317056656
17-46-36,93.3,17.192532002925873
17-46-39,96.3,17.188023388385773
17-46-42,99.3,17.18753981590271
17-46-45,102.3,17.187885284423828
17-46-48,105.3,17.1885244846344
17-46-51,108.3,17.190476298332214
17-46-54,111.4,17.19078755378723
17-46-57,114.4,17.190822184085846
17-47-00,117.4,17.191685438156128
17-47-03,120.4,17.191236078739166
17-47-06,123.4,17.191391706466675
17-47-09,126.4,17.19127070903778
17-47-12,129.4,17.190061569213867
17-47-15,132.4,17.18962973356247
17-47-18,135.4,17.18850737810135
17-47-21,138.5,17.18716013431549
17-47-24,141.5,17.184033811092377
17-47-27,144.5,17.185881733894348
17-47-30,147.5,17.18361908197403
17-47-33,150.5,17.19142633676529
17-47-36,153.5,17.197385251522064
17-47-39,156.5,17.207662522792816
17-47-42,159.5,17.22108405828476
17-47-45,162.5,17.255595862865448
17-47-48,165.5,17.296533048152924
17-47-51,168.6,17.36756020784378
17-47-54,171.6,17.449175894260406
17-47-57,174.6,17.5323286652565
17-48-00,177.6,17.595617413520813
17-48-03,180.6,17.63700395822525
17-48-06,183.6,17.65049433708191
17-48-09,186.6,17.651288747787476
17-48-12,189.6,17.638385832309723
17-48-15,192.6,17.631683826446533
17-48-18,195.6,17.61145681142807
17-48-21,198.6,17.590055286884308
17-48-24,201.6,17.561191976070404
17-48-27,204.7,17.533969223499298
17-48-30,207.7,17.499336421489716
17-48-33,210.7,17.47916156053543
17-48-36,213.7,17.456015586853027
17-48-39,216.7,17.443026304244995
17-48-42,219.7,17.433958172798157
17-48-45,222.7,17.427481055259705
17-48-48,225.7,17.426859378814697
17-48-51,228.7,17.435219883918762
17-48-54,231.7,17.4492626786232
17-48-57,234.7,17.456586360931396
17-49-00,237.7,17.464981079101562
17-49-03,240.8,17.472460389137268
17-49-07,243.8,17.474533200263977
17-49-10,246.8,17.467710614204407
17-49-13,249.8,17.474758088588715
17-49-16,252.8,17.48123562335968
17-49-19,255.8,17.481909036636353
17-49-22,258.8,17.481131732463837
17-49-25,261.8,17.479853332042694
17-49-28,264.8,17.47247749567032
17-49-31,267.8,17.465274393558502
17-49-34,270.8,17.464410722255707
17-49-37,273.8,17.46473866701126
17-49-40,276.9,17.468089878559113
17-49-43,279.9,17.467451095581055
17-49-46,282.9,17.467381834983826
17-49-49,285.9,17.472719490528107
17-49-52,288.9,17.47936975955963
17-49-55,291.9,17.48451715707779
17-49-58,294.9,17.492393672466278
17-50-01,297.9,17.492376565933228
17-50-04,300.9,17.49360281229019
17-50-07,303.9,17.494569957256317
17-50-10,306.9,17.494725167751312
17-50-13,309.9,17.493757605552673
17-50-16,312.9,17.500200510025024
17-50-19,315.9,17.499215841293335
17-50-22,318.9,17.49716055393219
17-50-25,322.0,17.49608951807022
17-50-28,325.0,17.496366143226624
17-50-31,328.0,17.496366143226624
17-50-34,331.0,17.49621093273163
17-50-37,334.0,17.491028904914856
17-50-40,337.0,17.49213457107544
17-50-43,340.0,17.485674142837524
17-50-46,343.0,17.47968018054962
17-50-49,346.0,17.47416979074478
17-50-52,349.0,17.473029911518097
17-50-55,352.0,17.46572333574295
17-50-58,355.0,17.466155171394348
17-51-01,358.0,17.466103434562683
17-51-04,361.0,17.465118765830994
17-51-07,364.1,17.46610301733017
17-51-10,367.3,17.466051280498505
17-51-13,370.3,17.463028848171234
17-51-16,373.3,17.459695160388947
17-51-19,376.3,17.45907348394394
17-51-22,379.3,17.46475660800934
17-51-25,382.3,17.464082777500153
17-51-28,385.4,17.46596533060074
17-51-31,388.4,17.469212651252747
17-51-34,391.4,17.476812958717346
17-51-37,394.4,17.48392927646637
17-51-40,397.4,17.49833506345749
17-51-43,400.4,17.52082473039627
17-51-46,403.4,17.54747712612152
17-51-49,406.4,17.57447499036789
17-51-52,409.4,17.59597998857498
17-51-55,412.4,17.617295145988464
17-51-58,415.4,17.628816187381744
17-52-01,418.5,17.64182299375534
17-52-04,421.5,17.649578511714935
17-52-07,424.5,17.663327991962433
17-52-10,427.5,17.68488472700119
17-52-13,430.5,17.69935977458954
17-52-16,433.5,17.71416276693344
17-52-19,436.5,17.72772240638733
17-52-22,439.5,17.734217047691345
17-52-25,442.5,17.732316970825195
17-52-28,445.5,17.739485442638397
17-52-31,448.5,17.73870813846588
17-52-34,451.5,17.738604247570038
17-52-37,454.5,17.739105343818665
17-52-40,457.6,17.739399075508118
17-52-43,460.6,17.73896723985672
