Time,Channel A,Channel B
0.002,6.546050656666666,5.66728714
0.022,6.546050656666666,5.6169316
0.042,6.546050656666666,5.6169316
0.062,6.647270364444444,5.46586498
0.082,6.546050656666666,5.46586498
0.102,6.546050656666666,5.51622052
0.12200001,6.495525573333333,5.6169316
0.14200001,6.546050656666666,5.6169316
0.16200001,6.59657574,5.66728714
0.18200001,6.546050656666666,5.51622052
0.20200001,6.546050656666666,5.51622052
0.22200001,6.495525573333333,5.56657606
0.24200001,6.343950323333333,5.51622052
0.26200001,6.495525573333333,5.56657606
0.28200001,6.3944754066666665,5.6169316
0.30200001,6.546050656666666,5.56657606
0.32200002,6.495525573333333,5.46586498
0.34200002,6.44500049,5.56657606
0.36200002,6.495525573333333,5.46586498
0.38200002,6.59657574,5.6169316
0.40200002,6.546050656666666,5.51622052
0.42200002,6.596745281111111,5.46586498
0.44200002,6.59657574,5.56657606
0.46200002,6.596745281111111,5.51622052
0.48200002,6.546050656666666,5.51622052
0.50200002,6.546050656666666,5.66728714
0.52200002,6.546050656666666,5.56657606
0.54200003,6.647270364444444,5.51622052
0.56200003,6.3944754066666665,5.41550944
0.58200003,6.59657574,5.46586498
0.60200003,6.546050656666666,5.51622052
0.62200003,6.495525573333333,5.6169316
0.64200003,6.59657574,5.56657606
0.66200003,6.495525573333333,5.41550944
0.68200003,6.44500049,5.41550944
0.70200003,6.44500049,5.41550944
0.72200003,6.3944754066666665,5.51622052
0.74200004,6.647270364444444,5.66728714
0.76200004,6.4953560322222215,5.56657606
0.78200004,6.495525573333333,5.46586498
0.80200004,6.495525573333333,5.6169316
0.82200004,6.59657574,5.3651539
0.84200004,6.495525573333333,5.6169316
0.86200004,6.647270364444444,5.6169316
0.88200004,6.647270364444444,5.66728714
0.90200004,6.546050656666666,5.51622052
0.92200004,6.44500049,5.41550944
0.94200004,6.546050656666666,5.51622052
0.96200005,6.59657574,5.51622052
0.98200005,6.59657574,5.56657606
1.00200005,6.697964988888889,5.46586498
1.02200005,6.546050656666666,5.46586498
1.04200005,6.546220197777777,5.46586498
1.06200005,6.59657574,5.41550944
1.08200005,6.59657574,5.56657606
1.10200005,6.546050656666666,5.51622052
1.12200005,6.59657574,5.66728714
1.14200005,6.495525573333333,5.6169316
