Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,3.86364317,11.66417408
0.00100000,3.86364317,11.66417408
0.00200000,3.86364317,11.66417408
0.00300000,3.86364317,11.66417408
0.00400000,3.86364317,11.66417408
0.00500000,3.86364317,11.66417408
0.00600000,3.86364317,11.66417408
0.00700000,3.86364317,11.66417408
0.00800000,3.86364317,11.66417408
0.00900000,3.86364317,11.66417408
0.01000000,3.86364317,11.66417408
0.01100000,3.86364317,11.21097469
0.01200000,3.86364317,11.66417408
0.01300000,3.86364317,11.66417408
0.01400000,3.86364317,11.66417408
0.01500000,4.31989479,11.66417408
0.01600000,4.31989479,11.66417408
0.01700000,4.31989479,11.66417408
0.01800000,3.86364317,11.66417408
0.01900000,3.86364317,11.66417408
0.02000000,4.31989479,11.66417408
0.02100000,4.31989479,11.66417408
0.02200000,4.31989479,11.66417408
0.02300000,4.31989479,11.66417408
0.02400000,3.86364317,11.66417408
0.02500000,4.31989479,11.66417408
0.02600000,4.77462101,11.66417408
0.02700000,4.77462101,11.66417408
0.02800000,3.86364317,11.66417408
0.02900000,3.86364317,11.66417408
0.03000000,3.86364317,11.66417408
0.03100000,4.31989479,11.66417408
0.03200000,4.31989479,11.66417408
0.03300000,4.31989479,11.66417408
0.03400000,4.31989479,11.21097469
0.03500000,3.86364317,11.66417408
0.03600000,4.77462101,11.66417408
0.03700000,4.31989479,11.66417408
0.03800000,4.31989479,11.66417408
0.03900000,4.31989479,11.66417408
0.04000000,4.31989479,11.66417408
0.04100000,4.77462101,11.66417408
0.04200000,4.77462101,11.66417408
0.04300000,4.77462101,11.66417408
0.04400000,4.77462101,11.66417408
0.04500000,4.77462101,11.66417408
0.04600000,4.31989479,11.66417408
0.04700000,4.31989479,11.66417408
0.04800000,4.77462101,11.66417408
0.04900000,4.31989479,11.66417408
0.05000000,4.77462101,11.66417408
0.05100000,4.77462101,11.66417408
0.05200000,4.77462101,11.66417408
0.05300000,4.77462101,11.66417408
0.05400000,4.31989479,11.66417408
0.05500000,4.77462101,11.66417408
0.05600000,4.77462101,11.66417408
0.05700000,4.77462101,11.66417408
0.05800000,4.77462101,11.66417408
0.05900000,5.23087263,11.66417408
0.06000000,5.23087263,11.66417408
0.06100000,5.23087263,11.66417408
0.06200000,4.77462101,11.66417408
0.06300000,4.77462101,11.66417408
0.06400000,4.77462101,11.66417408
0.06500000,4.77462101,11.66417408
0.06600000,4.77462101,11.66417408
0.06700000,4.77462101,11.66417408
0.06800000,4.77462101,11.66417408
0.06900000,4.31989479,11.66417408
0.07000000,4.77462101,11.66417408
0.07100000,4.77462101,11.66417408
0.07200000,4.77462101,11.66417408
0.07300000,4.77462101,11.66417408
0.07400000,4.77462101,11.66417408
0.07500000,4.77462101,11.66417408
0.07600000,4.77462101,11.66417408
0.07700000,4.77462101,11.66417408
0.07800000,5.23087263,11.21097469
0.07900000,4.77462101,11.66417408
0.08000000,5.23087263,11.66417408
0.08100000,5.23087263,11.66417408
0.08200000,4.77462101,11.66417408
0.08300000,4.77462101,11.66417408
0.08400000,4.77462101,11.66417408
0.08500000,4.77462101,11.66417408
0.08600000,4.77462101,11.66417408
0.08700000,4.77462101,11.66417408
0.08800000,4.77462101,11.66417408
0.08900000,4.77462101,11.66417408
0.09000000,4.77462101,11.66417408
0.09100000,4.77462101,11.66417408
0.09200000,4.77462101,11.66417408
0.09300000,4.77462101,11.66417408
0.09400000,4.77462101,11.66417408
0.09500000,4.77462101,11.66417408
0.09600000,4.77462101,11.66417408
0.09700000,4.77462101,11.21097469
0.09800000,4.77462101,11.66417408
0.09900000,5.23087263,11.66417408
0.10000000,4.77462101,11.66417408
0.10100000,4.77462101,11.66417408
0.10200000,4.77462101,11.66417408
